,Description
!knee swelling (swollen knee),symptom asdasdasda d asd as dasd asd asd asd a sd
!neck pain.1,symptom asdasdasda d asd as dasd asd asd asd a sd
!fluctuating mood (mood swings),symptom asdasdasda d asd as dasd asd asd asd a sd
!shoulder pain.1,symptom asdasdasda d asd as dasd asd asd asd a sd
!black colored stools,symptom asdasdasda d asd as dasd asd asd asd a sd
!metallic taste,symptom asdasdasda d asd as dasd asd asd asd a sd
!labile mood (inability to regulate emotions),symptom asdasdasda d asd as dasd asd asd asd a sd
!depressed mood,symptom asdasdasda d asd as dasd asd asd asd a sd
!tightness in chest,symptom asdasdasda d asd as dasd asd asd asd a sd
!upset stomach,symptom asdasdasda d asd as dasd asd asd asd a sd
!bloating,symptom asdasdasda d asd as dasd asd asd asd a sd
!attention deficit (inattention),symptom asdasdasda d asd as dasd asd asd asd a sd
!tenderness to touch,symptom asdasdasda d asd as dasd asd asd asd a sd
!jaw locking,symptom asdasdasda d asd as dasd asd asd asd a sd
!groin pain.1,symptom asdasdasda d asd as dasd asd asd asd a sd
!body aches,symptom asdasdasda d asd as dasd asd asd asd a sd
!fits of rage,symptom asdasdasda d asd as dasd asd asd asd a sd
!coarse hair,symptom asdasdasda d asd as dasd asd asd asd a sd
!irregular menstrual periods,symptom asdasdasda d asd as dasd asd asd asd a sd
!night sweats.1,symptom asdasdasda d asd as dasd asd asd asd a sd
!lack of emotion,symptom asdasdasda d asd as dasd asd asd asd a sd
!spasms (painful),symptom asdasdasda d asd as dasd asd asd asd a sd
!vision loss.1,symptom asdasdasda d asd as dasd asd asd asd a sd
!gas,symptom asdasdasda d asd as dasd asd asd asd a sd
!tires quickly,symptom asdasdasda d asd as dasd asd asd asd a sd
!altered mental status,symptom asdasdasda d asd as dasd asd asd asd a sd
!vaginal bleeding.1,symptom asdasdasda d asd as dasd asd asd asd a sd
!joint warmth,symptom asdasdasda d asd as dasd asd asd asd a sd
!proteinuria (protein in the urine),symptom asdasdasda d asd as dasd asd asd asd a sd
!nosebleed,symptom asdasdasda d asd as dasd asd asd asd a sd
!stool color & texture changes,symptom asdasdasda d asd as dasd asd asd asd a sd
!vaginal itching,symptom asdasdasda d asd as dasd asd asd asd a sd
!rectal bleeding,symptom asdasdasda d asd as dasd asd asd asd a sd
!excessive facial hair growth (female),symptom asdasdasda d asd as dasd asd asd asd a sd
!itch,symptom asdasdasda d asd as dasd asd asd asd a sd
!cracks at corner of mouth,symptom asdasdasda d asd as dasd asd asd asd a sd
!difficulty concentrating.2,symptom asdasdasda d asd as dasd asd asd asd a sd
!adhd (inattention),symptom asdasdasda d asd as dasd asd asd asd a sd
!difficulty urinating,symptom asdasdasda d asd as dasd asd asd asd a sd
!frequent infections,symptom asdasdasda d asd as dasd asd asd asd a sd
!joint stiffness,symptom asdasdasda d asd as dasd asd asd asd a sd
!ringing in ears,symptom asdasdasda d asd as dasd asd asd asd a sd
!excessive exercising,symptom asdasdasda d asd as dasd asd asd asd a sd
!hunger.1,symptom asdasdasda d asd as dasd asd asd asd a sd
!low libido,symptom asdasdasda d asd as dasd asd asd asd a sd
!change in stools,symptom asdasdasda d asd as dasd asd asd asd a sd
!abdominal lump,symptom asdasdasda d asd as dasd asd asd asd a sd
!blue colored skin,symptom asdasdasda d asd as dasd asd asd asd a sd
!cloudy urine with strong odor,symptom asdasdasda d asd as dasd asd asd asd a sd
!increased appetite,symptom asdasdasda d asd as dasd asd asd asd a sd
!frequent urinate,symptom asdasdasda d asd as dasd asd asd asd a sd
!bowel incontinence (fecal incontinence),symptom asdasdasda d asd as dasd asd asd asd a sd
!bruising.1,symptom asdasdasda d asd as dasd asd asd asd a sd
!drooling.1,symptom asdasdasda d asd as dasd asd asd asd a sd
!bloody sputum,symptom asdasdasda d asd as dasd asd asd asd a sd
!mood swings.1,symptom asdasdasda d asd as dasd asd asd asd a sd
!strange behavior (unusual behavior),symptom asdasdasda d asd as dasd asd asd asd a sd
!dysphagia,symptom asdasdasda d asd as dasd asd asd asd a sd
!change in bowel habits,symptom asdasdasda d asd as dasd asd asd asd a sd
!swollen knee.1,symptom asdasdasda d asd as dasd asd asd asd a sd
!hearing loss,symptom asdasdasda d asd as dasd asd asd asd a sd
!sensitive to cold,symptom asdasdasda d asd as dasd asd asd asd a sd
!skin bumps,symptom asdasdasda d asd as dasd asd asd asd a sd
!fullness,symptom asdasdasda d asd as dasd asd asd asd a sd
!vaginal odor.1,symptom asdasdasda d asd as dasd asd asd asd a sd
!painful bowel movements,symptom asdasdasda d asd as dasd asd asd asd a sd
!mucus,symptom asdasdasda d asd as dasd asd asd asd a sd
!pains,symptom asdasdasda d asd as dasd asd asd asd a sd
!eyelid redness,symptom asdasdasda d asd as dasd asd asd asd a sd
!burning urination,symptom asdasdasda d asd as dasd asd asd asd a sd
!finger pain.1,symptom asdasdasda d asd as dasd asd asd asd a sd
!flat affect,symptom asdasdasda d asd as dasd asd asd asd a sd
!blood on toilet tissue,symptom asdasdasda d asd as dasd asd asd asd a sd
!double vision.1,symptom asdasdasda d asd as dasd asd asd asd a sd
!behavior disorder (unusual behavior),symptom asdasdasda d asd as dasd asd asd asd a sd
!hair loss,symptom asdasdasda d asd as dasd asd asd asd a sd
!binge eating,symptom asdasdasda d asd as dasd asd asd asd a sd
!missed period,symptom asdasdasda d asd as dasd asd asd asd a sd
!difficulty talking,symptom asdasdasda d asd as dasd asd asd asd a sd
!lump.1,symptom asdasdasda d asd as dasd asd asd asd a sd
!impulsivity.1,symptom asdasdasda d asd as dasd asd asd asd a sd
!food cravings,symptom asdasdasda d asd as dasd asd asd asd a sd
!unusual behavior.1,symptom asdasdasda d asd as dasd asd asd asd a sd
!neglecting oneself (self-neglect),symptom asdasdasda d asd as dasd asd asd asd a sd
!bumps on skin,symptom asdasdasda d asd as dasd asd asd asd a sd
!bulge,symptom asdasdasda d asd as dasd asd asd asd a sd
!eye floaters,symptom asdasdasda d asd as dasd asd asd asd a sd
!tiredness,symptom asdasdasda d asd as dasd asd asd asd a sd
!feeling faint,symptom asdasdasda d asd as dasd asd asd asd a sd
!pus,symptom asdasdasda d asd as dasd asd asd asd a sd
!gum sores,symptom asdasdasda d asd as dasd asd asd asd a sd
!cloudy urine.2,symptom asdasdasda d asd as dasd asd asd asd a sd
!vaginal bleeding after menopause,symptom asdasdasda d asd as dasd asd asd asd a sd
!distended stomach (abdominal distention),symptom asdasdasda d asd as dasd asd asd asd a sd
!yellow eyes,symptom asdasdasda d asd as dasd asd asd asd a sd
!swollen lymph nodes.1,symptom asdasdasda d asd as dasd asd asd asd a sd
!suspicious mole,symptom asdasdasda d asd as dasd asd asd asd a sd
!skin irritation.1,symptom asdasdasda d asd as dasd asd asd asd a sd
!blurred vision.2,symptom asdasdasda d asd as dasd asd asd asd a sd
!distorted body image,symptom asdasdasda d asd as dasd asd asd asd a sd
!social isolation,symptom asdasdasda d asd as dasd asd asd asd a sd
!stomach cramps.1,symptom asdasdasda d asd as dasd asd asd asd a sd
!insomnia.1,symptom asdasdasda d asd as dasd asd asd asd a sd
!emotional disorder (inability to regulate emotions),symptom asdasdasda d asd as dasd asd asd asd a sd
!color change,symptom asdasdasda d asd as dasd asd asd asd a sd
!missed menstrual period,symptom asdasdasda d asd as dasd asd asd asd a sd
!warm to touch,symptom asdasdasda d asd as dasd asd asd asd a sd
!forgetfulness.1,symptom asdasdasda d asd as dasd asd asd asd a sd
!inability to exercise (exercise intolerance),symptom asdasdasda d asd as dasd asd asd asd a sd
!poor hygiene,symptom asdasdasda d asd as dasd asd asd asd a sd
!increased passing gas,symptom asdasdasda d asd as dasd asd asd asd a sd
!enlarged glands,symptom asdasdasda d asd as dasd asd asd asd a sd
!changes in skin of the breast,symptom asdasdasda d asd as dasd asd asd asd a sd
!bulging veins,symptom asdasdasda d asd as dasd asd asd asd a sd
!delusions,symptom asdasdasda d asd as dasd asd asd asd a sd
!joint deformity,symptom asdasdasda d asd as dasd asd asd asd a sd
!testicular pain.1,symptom asdasdasda d asd as dasd asd asd asd a sd
!emotional detachment,symptom asdasdasda d asd as dasd asd asd asd a sd
!weight gain.2,symptom asdasdasda d asd as dasd asd asd asd a sd
!low testosterone (low t),symptom asdasdasda d asd as dasd asd asd asd a sd
!drainage,symptom asdasdasda d asd as dasd asd asd asd a sd
!yellow skin,symptom asdasdasda d asd as dasd asd asd asd a sd
!hand pain.1,symptom asdasdasda d asd as dasd asd asd asd a sd
!distended stomach,symptom asdasdasda d asd as dasd asd asd asd a sd
!dark urine.1,symptom asdasdasda d asd as dasd asd asd asd a sd
!aches,symptom asdasdasda d asd as dasd asd asd asd a sd
!fecal incontinence.1,symptom asdasdasda d asd as dasd asd asd asd a sd
!burning,symptom asdasdasda d asd as dasd asd asd asd a sd
!high blood pressure,symptom asdasdasda d asd as dasd asd asd asd a sd
!red streaks on the skin,symptom asdasdasda d asd as dasd asd asd asd a sd
!swollen joints,symptom asdasdasda d asd as dasd asd asd asd a sd
!discharge from penis.1,symptom asdasdasda d asd as dasd asd asd asd a sd
!drinking excessive fluids,symptom asdasdasda d asd as dasd asd asd asd a sd
!brittle hair,symptom asdasdasda d asd as dasd asd asd asd a sd
!jaundice,symptom asdasdasda d asd as dasd asd asd asd a sd
!discoloration,symptom asdasdasda d asd as dasd asd asd asd a sd
!increased thirst.1,symptom asdasdasda d asd as dasd asd asd asd a sd
!vomiting,symptom asdasdasda d asd as dasd asd asd asd a sd
!agitation,symptom asdasdasda d asd as dasd asd asd asd a sd
!constipation,symptom asdasdasda d asd as dasd asd asd asd a sd
!swelling,symptom asdasdasda d asd as dasd asd asd asd a sd
!numbness,symptom asdasdasda d asd as dasd asd asd asd a sd
!nausea,symptom asdasdasda d asd as dasd asd asd asd a sd
!headache,symptom asdasdasda d asd as dasd asd asd asd a sd
!pain,symptom asdasdasda d asd as dasd asd asd asd a sd
!hoarseness,symptom asdasdasda d asd as dasd asd asd asd a sd
!wheezing,symptom asdasdasda d asd as dasd asd asd asd a sd
!cough,symptom asdasdasda d asd as dasd asd asd asd a sd
!fatigue,symptom asdasdasda d asd as dasd asd asd asd a sd
!fever,symptom asdasdasda d asd as dasd asd asd asd a sd
!diarrhea,symptom asdasdasda d asd as dasd asd asd asd a sd
!lightheadedness,symptom asdasdasda d asd as dasd asd asd asd a sd
!dizziness,symptom asdasdasda d asd as dasd asd asd asd a sd
!shortness of breath,symptom asdasdasda d asd as dasd asd asd asd a sd
!abdominal pain,symptom asdasdasda d asd as dasd asd asd asd a sd
!anxiety,symptom asdasdasda d asd as dasd asd asd asd a sd
!arm pain,symptom asdasdasda d asd as dasd asd asd asd a sd
!back pain,symptom asdasdasda d asd as dasd asd asd asd a sd
!bleeding,symptom asdasdasda d asd as dasd asd asd asd a sd
!chills,symptom asdasdasda d asd as dasd asd asd asd a sd
!confusion,symptom asdasdasda d asd as dasd asd asd asd a sd
!depression,symptom asdasdasda d asd as dasd asd asd asd a sd
!difficulty swallowing,symptom asdasdasda d asd as dasd asd asd asd a sd
!dry skin,symptom asdasdasda d asd as dasd asd asd asd a sd
!foot pain,symptom asdasdasda d asd as dasd asd asd asd a sd
!hip pain,symptom asdasdasda d asd as dasd asd asd asd a sd
!itching,symptom asdasdasda d asd as dasd asd asd asd a sd
!joint pain,symptom asdasdasda d asd as dasd asd asd asd a sd
!knee pain,symptom asdasdasda d asd as dasd asd asd asd a sd
!leg pain,symptom asdasdasda d asd as dasd asd asd asd a sd
!loss of appetite,symptom asdasdasda d asd as dasd asd asd asd a sd
!memory loss,symptom asdasdasda d asd as dasd asd asd asd a sd
!pelvic pain,symptom asdasdasda d asd as dasd asd asd asd a sd
!seizures,symptom asdasdasda d asd as dasd asd asd asd a sd
!skin rash,symptom asdasdasda d asd as dasd asd asd asd a sd
!sore throat,symptom asdasdasda d asd as dasd asd asd asd a sd
!weakness,symptom asdasdasda d asd as dasd asd asd asd a sd
!weight loss,symptom asdasdasda d asd as dasd asd asd asd a sd
!wrist pain,symptom asdasdasda d asd as dasd asd asd asd a sd
!easy bruising,symptom asdasdasda d asd as dasd asd asd asd a sd
!decreased appetite,symptom asdasdasda d asd as dasd asd asd asd a sd
!vaginal discharge,symptom asdasdasda d asd as dasd asd asd asd a sd
!bleeding gums,symptom asdasdasda d asd as dasd asd asd asd a sd
!frequent urination,symptom asdasdasda d asd as dasd asd asd asd a sd
!muscle cramps,symptom asdasdasda d asd as dasd asd asd asd a sd
!dry mouth,symptom asdasdasda d asd as dasd asd asd asd a sd
!excessive sweating,symptom asdasdasda d asd as dasd asd asd asd a sd
!stiff neck,symptom asdasdasda d asd as dasd asd asd asd a sd
!painful intercourse,symptom asdasdasda d asd as dasd asd asd asd a sd
Sum,symptom asdasdasda d asd as dasd asd asd asd a sd
Age18-35,symptom asdasdasda d asd as dasd asd asd asd a sd
Age35-55,symptom asdasdasda d asd as dasd asd asd asd a sd
Age55+,symptom asdasdasda d asd as dasd asd asd asd a sd
Female,symptom asdasdasda d asd as dasd asd asd asd a sd
Male,symptom asdasdasda d asd as dasd asd asd asd a sd
